TEAM,NAME,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
ARI,Arizona Cardinals,0,2,0,0,0-1,0-1,0-1,0-2,6,58,-52,L2
ATL,Atlanta Falcons,1,1,0,0.5,Jan-00,0-1,Jan-00,1-Jan,43,42,1,W1
BAL,Baltimore Ravens,1,1,0,0.5,Jan-00,0-1,0-1,1-Jan,70,37,33,L1
BUF,Buffalo Bills,0,2,0,0,0-1,0-1,0-0,0-2,23,78,-55,L2
CAR,Carolina Panthers,1,1,0,0.5,Jan-00,0-1,0-1,1-Jan,40,39,1,L1
CHI,Chicago Bears,0,1,0,0,0-0,0-1,0-1,0-1,23,24,-1,L1
CIN,Cincinnati Bengals,2,0,0,1,Jan-00,Jan-00,Jan-00,Feb-00,68,46,22,W2
CLE,Cleveland Browns,0,1,1,0.25,0-0-1,0-1,0-0-1,0-0-1,39,42,-3,L1
DAL,Dallas Cowboys,1,1,0,0.5,Jan-00,0-1,Jan-00,1-Jan,28,29,-1,W1
DEN,Denver Broncos,2,0,0,1,Feb-00,0-0,Jan-00,Jan-00,47,43,4,W2
DET,Detroit Lions,0,2,0,0,0-1,0-1,0-0,0-1,44,78,-34,L2
GB,Green Bay Packers,1,0,1,0.75,1-0-1,0-0,1-0-1,1-0-1,53,52,1,-
HOU,Houston Texans,0,2,0,0,0-0,0-2,0-1,0-2,37,47,-10,L2
IND,Indianapolis Colts,1,1,0,0.5,0-1,Jan-00,0-0,0-1,44,43,1,W1
JAC,Jacksonville Jaguars,2,0,0,1,Jan-00,Jan-00,0-0,Jan-00,51,35,16,W2
KC,Kansas City Chiefs,2,0,0,1,0-0,Feb-00,Jan-00,Feb-00,80,65,15,W2
LAC,Los Angeles Chargers,1,1,0,0.5,0-1,Jan-00,0-1,1-Jan,59,58,1,W1
LAR,Los Angeles Rams,2,0,0,1,Jan-00,Jan-00,Jan-00,Jan-00,67,13,54,W2
MIA,Miami Dolphins,2,0,0,1,Jan-00,Jan-00,Jan-00,Feb-00,47,32,15,W2
MIN,Minnesota Vikings,1,0,1,0.75,Jan-00,0-0-1,0-0-1,1-0-1,53,45,8,-
NE,New England Patriots,1,1,0,0.5,Jan-00,0-1,0-0,Jan-18,47,51,-4,L1
NO,New Orleans Saints,1,1,0,0.5,Jan-18,0-0,0-1,0-1,61,66,-5,W1
NYG,New York Giants,0,2,0,0,0-1,0-1,0-1,0-1,28,40,-12,L2
NYJ,New York Jets,1,1,0,0.5,0-1,Jan-00,0-1,0-1,60,37,23,L1
OAK,Oakland Raiders,0,2,0,0,0-1,0-1,0-1,0-1,32,53,-21,L2
PHI,Philadelphia Eagles,1,1,0,0.5,Jan-00,0-1,0-0,1-Jan,39,39,0,L1
PIT,Pittsburgh Steelers,0,1,1,0.25,0-1,0-0-1,0-0-1,0-1-1,58,63,-5,L1
SF,San Francisco 49ers,1,1,0,0.5,Jan-00,0-1,0-0,Jan-18,46,51,-5,W1
SEA,Seattle Seahawks,0,1,0,0,0-0,0-1,0-0,0-0,24,27,-3,L1
TB,Tampa Bay Buccaneers,2,0,0,1,Jan-00,Jan-00,Jan-00,Feb-00,75,61,14,W2
TEN,Tennessee Titans,1,1,0,0.5,Jan-00,0-1,Jan-00,1-Jan,40,44,-4,W1
WAS,Washington Redskins,1,1,0,0.5,0-1,Jan-00,0-0,Jan-00,33,27,6,L1
