TEAM,NAME,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
TB,Tampa Bay,1,0,0,1,0-0,Jan-00,Jan-00,Jan-00,48,40,8,W1
BAL,Baltimore Ravens,1,0,0,1,Jan-00,0-0,0-0,Jan-00,47,3,44,W1
WAS,Washington Redskins,1,0,0,1,0-0,Jan-00,0-0,Jan-00,24,6,18,W1
KC,Kansas City Chiefs,1,0,0,1,0-0,Jan-00,Jan-00,Jan-00,38,28,10,W1
MIA,Miami Dolphins,1,0,0,1,Jan-00,0-0,0-0,Jan-00,27,20,7,W1
GB,Green Bay Packers,1,0,0,1,Jan-00,0-0,Jan-00,Jan-00,24,23,1,W1
JAC,Jacksonville Jaguars,1,0,0,1,0-0,Jan-00,0-0,0-0,20,15,5,W1
CIN,Cincinnati Bengals,1,0,0,1,0-0,Jan-00,0-0,Jan-00,34,23,11,W1
MIN,Minnesota Vikings,1,0,0,1,Jan-00,0-0,0-0,Jan-00,24,16,8,W1
NE,New England Patriots,1,0,0,1,Jan-00,0-0,0-0,Jan-00,27,20,7,W1
PHI,Philadelphia Eagles,1,0,0,1,Jan-00,0-0,0-0,Jan-00,18,12,6,W1
CAR,Carolina Panthers,1,0,0,1,Jan-00,0-0,0-0,Jan-00,16,8,8,W1
DEN,Denver Broncos,1,0,0,1,Jan-00,0-0,0-0,0-0,27,24,3,W1
CLE,Cleveland Browns,0,0,1,0.5,0-0-1,0-0,0-0-1,0-0-1,21,21,0,-
PIT,Pittsburgh Steelers,0,0,1,0.5,0-0,0-0-1,0-0-1,0-0-1,21,21,0,-
DET,Detroit Lions,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
OAK,Oakland Raiders,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
LAR,Los Angeles Rams,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
NYJ,New York Jets,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
SF,San Francisco 49ers,0,1,0,0,0-0,0-1,0-0,0-1,16,24,-8,L1
NO,New Orleans Saints,0,1,0,0,0-1,0-0,0-1,0-1,40,48,-8,L1
CHI,Chicago Bears,0,1,0,0,0-0,0-1,0-1,0-1,23,24,-1,L1
ATL,Atlanta Falcons,0,1,0,0,0-0,0-1,0-0,0-1,12,18,-6,L1
LAC,Los Angeles Chargers,0,1,0,0,0-1,0-0,0-1,0-1,28,38,-10,L1
DAL,Dallas Cowboys,0,1,0,0,0-0,0-1,0-0,0-1,8,16,-8,L1
IND,Indianapolis Colts,0,1,0,0,0-1,0-0,0-0,0-1,23,34,-11,L1
ARI,Arizona Cardinals,0,1,0,0,0-1,0-0,0-0,0-1,6,24,-18,L1
HOU,Houston Texans,0,1,0,0,0-0,0-1,0-0,0-1,20,27,-7,L1
SEA,Seattle Seahawks,0,1,0,0,0-0,0-1,0-0,0-0,24,27,-3,L1
TEN,Tennessee Titans,0,1,0,0,0-0,0-1,0-0,0-1,20,27,-7,L1
BUF,Buffalo Bills,0,1,0,0,0-0,0-1,0-0,0-1,3,47,-44,L1
NYG,New York Giants,0,1,0,0,0-1,0-0,0-0,0-0,15,20,-5,L1
